GPR101	Acromegaly, predisposition to
PTRH2	Global developmental delay, hearing loss and ataxia|Infantile-onset multisystem neurologic, endocrine, and pancreatic disease
ARV1	Neurodegenrative disease with blindness
CHAF1B	Global developmental delay, intellectual disability and ADHD
DPH1	Cerebellar vermis hypoplasia, Dandy-Walker Malformation, hydrocephalus, developmental delay
FAM120AOS	Coarse facial features, scoliosis, pectus excavatum, skin laxity, hypotonia, GERD, hyperactive airways, undescended testes
FAM177A1	Macrocephaly, intellectual disability, dolichocephaly and mild obesity
ISCA2	Neurodegeration, developmental delay, failure to thrive, quadriplegia, truncal hypotonia, optic atrophy, leukoencephalopathy|Mitochondrial disorder, neurodegenerative
KCTD3	Severe psychomotor retardation, seizure, and cerebellar hypoplasia
MTSS1L	Microcephaly, global developmental delay, intellectual disability, hypotonia, iron deposition in globus pallidus bilaterally
NFKBIZ	Colorectal cancer 
TMEM92	Cerebellar atrophy, hydrocephalus, global developmental delay and bilateral squint
XIRP1	Primary microcephaly
ETV1	Speech delay, psychomotor retardation, and dysmorphic facial appearance
nlgn3tv1	Intellectual disability  
TXNL4A	Burn-McKeown syndrome
WDR73	Galloway-Mowat syndrome
gtpbp3i5	Hypertrophic cardiomyopathy, lactic acidosis & encephalopathy
CEP120	Jeune asphyxiating thoracic dystrophy
RIPPLY2	Vertebral segmentation defects
CENPF	Ciliopathy & microcephaly
OSBPL2	Hearing loss, autosomal dominant
CDK5	Lissencephaly, with cerebellar hypoplasia
RPA3	Endometrial cancer   
A2ML1	Otitis media, susceptibility to|Noonan-like syndrome  |Noonan syndrome
CLIP1	Intellectual disability, autosomal recessive
STAG2	Diaphragmatic hernia, congenital  |Intellectual disability  
CHCHD2	Parkinson disease, autosomal dominant
fastkd2i1	Cerebellar ataxia  
foxp1i6	Developmental delay & speech impairment
wnk1tv4	Cerebellar ataxia  
CALN1	Infantile spasms
NEDD4	Infantile spasms
AGAP1	Cerebral palsy  
CD99L2	Cerebral palsy  
COA3	Neuropathy, exercise intolerance, obesity & short stature
KDM7A	Cerebral palsy  
NAA35	Cerebral palsy  
pak3tv6	Cerebral palsy  
WIPI2	Cerebral palsy  
KAT6A	Hypotonia, intellectual disability, feeding/oromotor difficulties, microcephaly/craniosynostosis, cardiac & facial defects|Microcephaly, developmental delay & craniofacial dysmorphism
P4HB	Amyotrophic lateral sclerosis, predisposition to|Cole-Carpenter syndrome
DCLK2	Hereditary motor & sensory neuropathy, phenotype modifier
FOXI3	Aural atresia, microtia & internal carotid artery agenesis
APC2	Sotos-like syndrome
SUCO	Mesial temporal lobe epilepsy
CD300LF	Autism spectrum disorder
EZR	Intellectual disability  
LOXL3	Stickler syndrome
rps24id	Autism spectrum disorder
SOCS4	Autoimmunity  
CRIM1	Colobomatous macrophthalmia with microcornea syndrome
MRPS7	Sensorineural deafness, progressive hepatic & renal failure & lactic acidaemia
gnei3	Inclusion body myositis
ELMO1	Dravet syndrome, atypical
HS2ST1	Dravet syndrome   
SLC7A11	Febrile seizures plus
WNT6	Recurrent miscarriage 
POC5	Scoliosis 
ldb3i3	Myofibrillar myopathy 
SEMA3C	Hirschsprung disease  
AFF4	Cognitive impairment & coarse facies, heart defects, obesity, pulmonary involvement & short stature
SIK1	Myoclonic encephalopathy|Developmental epilepsy
TAX1BP3	Cardiomyopathy, dilated with septo-optic dysplasia
GPR180	Goniodysgenesis|Microcoria
NDUFB11	Histiocytoid cardiomyopathy|Microphthalmia with linear skin lesions
sgk1tv2	Chorioretinopathy, central serous
DGKB	Short stature    
NRP1	Truncus arteriosus
RUNDC1	Glioma  
SYT1	Dyskinetic movement disorder, motor delay & cognitive impairment
P4HA2	High myopia, non-syndromic
RPL27	Diamond-Blackfan anaemia
RPS27	Diamond-Blackfan anaemia
BIRC6	Autism spectrum disorder
KRT24	Autism spectrum disorder
LRRC7	Autism spectrum disorder
UTP6	Autism spectrum disorder
ZNF559	Autism spectrum disorder
ZNF774	Autism spectrum disorder
ATP4A	Gastric neuroendocrine tumour, type 1
MMP21	Heterotaxy  
HIST1H1E	Intellectual disability  |Lung cancer, lower risk, association with
LIN7B	Autism spectrum disorder
ATP9B	Hailey-Hailey disease, modifier of
NFXL1	Specific language impairment|Specific language impairment, increased risk
PCGF2	Developmental disorder  
AK5	Intellectual disability  
SPARC	Osteogenesis imperfecta  |Osteoporosis, association with 
DDX41	Secondary acute myeloid leukaemia|Refractory cytopaenia with multilineage dysplasia|Refractory anaemia with excess blasts, type 1|Acute myeloid leukaemia 
PARN	Pulmonary fibrosis  |Dyskeratosis congenita
DCPS	Intellectual disability  
EDC3	Intellectual disability  
GDF7	Heterotaxy  
IL17RC	IL-17RC deficiency
MNDA	Heterotaxy  
OSTC	Heterotaxy  
SMO	Medulloblastoma  
CAD	Glycosylation disorder
PDIA3	Amyotrophic lateral sclerosis, predisposition to
plec1a	Epidermolysis bullosa simplex 
COG2	Congenital disorder of glycosylation  
POLR1A	Acrofacial dysostosis
PYCR2	Microcephaly & hypomyelination
CPT1C	Spastic paraplegia, autosomal dominant
MYL4	Atrial fibrillation, early-onset
MT1X	Zinc deficiency, in Wilson disease
GAS8	Sperm immotility
ETV4	Colorectal cancer 
FZD10	Colorectal cancer 
MAST2	Colorectal cancer 
AZGP1	Obesity, early-onset
STYXL1	Intellectual disability, epilepsy and behavioural complexities
FZD2	Omodysplasia, autosomal dominant
PMPCA	Cerebellar ataxia  
KANK4	Nephrotic syndrome, steroid resistant
PBRM1	Renal cell carcinoma
RNF31	Autoinflammation, immunodeficiency, amylopectinosis & lymphangiectasia
ADGRF4	Schizophrenia  
ARSG	Writer's cramp, increased risk|Musician's dystonia
KCNV1	Autism spectrum disorder
SOS2	Noonan syndrome
SPATA5	Schizophrenia  
TEKT5	Schizophrenia  
DOCK2	DOCK2 deficiency
FBXO24	Gastric cancer  
HNRNPA0	Cancer, increased risk  
SEMA6B	Autism spectrum disorder
WIF1	Cancer, increased risk  
ARHGAP21	Mandibular prognathism
ADGRG6	Arthrogryposis multiplex congenita  
DRAM2	Retinal dystrophy with early macular involvement
DYNC2LI1	Jeune-like syndrome|Short rib-polydactyly syndrome 
RECQL	Breast cancer  
KIAA0586	Ciliopathy  |Joubert syndrome
CDKN3	Schizophrenia  
GPR85	Autism spectrum disorder
PIGC	Hydrops fetalis, nonimmune
SIGIRR	Necrotizing enterocolitis
UBN1	Hydrops fetalis, nonimmune
FCRL4	Hydrops fetalis, nonimmune
GALNT14	Hydrops fetalis, nonimmune
PTPRS	Neural tube defects
THSD1	Hydrops fetalis, nonimmune
OCEL1	Aicardi syndrome
PI4KA	Perisylvian polymicrogyria, cerebellar hypoplasia & arthrogryposis|Long QT syndrome  
SASH1	Pigmentation defects, palmoplantar keratoderma & skin carcinoma
DLEC1	Breast cancer  
HSPA2	Azoospermia  
LRRC4C	Azoospermia  |Male infertility  
MYRIP	Male infertility  
PDE3A	Hypertension, dominant with brachydactyly
TEX11	Azoospermia with mixed testicular atrophy|Male infertility  
SLC1A4	Developmental delay, microcephaly & hypomyelination|Intellectual disability & microcephaly  
SEC16A	Axial spondyloarthritis
ARHGEF1	Coarctation of the aorta 
CCND3	Coarctation of the aorta 
SCYL1	Coarctation of the aorta 
SMTN	Coarctation of the aorta 
VAX2	Optic atrophy & photoreceptor degeneration
APPL1	Familial Diabetes mellitus
COPA	Autoimmune-mediated lung disease and arthritis
IPMK	Small intestinal carcinoid
XPR1	Primary familial brain calcification
ADAMTS19	Premature ovarian failure 
CIT	Long QT syndrome  
CLCA4	Cryptozoospermia
KIF21B	Long QT syndrome  
SIRT6	Long QT syndrome  
SLC2A5	Long QT syndrome  
SV2A	Intractable epilepsy, involuntary movements, microcephaly, and development and growth retardation
WDR26	Long QT syndrome  
DLX4	Orofacial clefting 
ANKLE2	Microcephaly  
PCDH7	Epilepsy  
RORB	Epilepsy  
TSNARE1	Epilepsy  
VGF	Neurobehavioural disorder & mental retardation
CTU2	Intellectual disability  
KIF19	Intellectual disability  
LRRC10	Cardiomyopathy, dilated
COL6A6	Myopathy  
MIR204	Retinal dystrophy 
SCNM1	Epilepsy, idiopathic generalised 
PRDM12	Congenital insensitivity to pain
RNASEH1	Mitochondrial encephalomyopathy, adult-onset
CCDC160	Moebius syndrome
CD9	Breast cancer  
lama3tv1	Breast cancer    
MCAT	Breast cancer     
RSPH3	Primary ciliary dyskinesia with central complex defects
ZNF217	Breast cancer    
RBP5	Total anomalous pulmonary venous return
RDH10	Total anomalous pulmonary venous return
TCTEX1D2	Jeune asphyxiating thoracic dystrophy
igf2tv3	Intrauterine and postnatal growth restriction
SRRM2	Papillary thyroid carcinoma 
pcdh15tva	Leber congenital amaurosis
CDO1	Diaphragmatic hernia, congenital  
DLST	Diaphragmatic hernia, congenital  
PPAPDC2	Diaphragmatic hernia, congenital  
PTPN12	Diaphragmatic hernia, congenital  
SIN3A	Diaphragmatic hernia, congenital  
SLC5A9	Diaphragmatic hernia, congenital  
TLN1	Diaphragmatic hernia, congenital  
DBX2	Intellectual disability & growth delay
mitftv3	Sensorineural hearing loss  
SLC30A6	Autism spectrum disorder
FER	Autism spectrum disorder
GPR149	Autism spectrum disorder
LSS	Cataract  
SLC7A3	Autism spectrum disorder
ADGRF1	Autism spectrum disorder
HELLS	Immunodeficiency, centromeric instability and facial anomalies syndrome, type 4
KCNMA1tv3	Early onset paroxysmal dyskinesia and developmental delay
MYO16	Autism spectrum disorder
PLVAP	Hypoproteinaemia, hypoalbuminaemia, and hypertriglyceridaemia
PSD3	Autism spectrum disorder
RORC	Inborn errors of immunity
POLD3	Colorectal adenoma/carcinoma
TRMT5	Multiple respiratory-chain deficiencies
HEY2	Congenital heart defects & cognitive impairment
EPS8L2	Hearing loss, autosomal recessive
SKIL	Intraductal papillary mucinous neoplasm
DEFA4	IgA nephropathy 
MYCT1	IgA nephropathy  
SYPL2	Obesity, association with
CD164	Hearing impairment, nonsyndromic
CFAP52	Heterotaxy, visceral & situs inversus totalis
CNGA2	Anosmia, isolated congenital
PTPN4	Rett-like syndrome
NLRP5	Multilocus imprinting disorder
AK7	Primary ciliary dyskinesia  
